budget,id,original_language,original_title,popularity,production_companies,release_date,revenue,runtime,status,title,vote_average,vote_count,release_year,release_month,log_budget,log_revenue,is_english,log_vote_count,log_popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Otro,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,productoras_limpias,compania_principal,compania_principal_agrupadas2
237000000,19995,en,Avatar,150.437577,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment",2009-12-10,2787965087,162.0,Released,Avatar,7.2,11800,2009.0,12.0,19.283570703318816,21.74857780752812,1,9.375939552625749,5.020173507037201,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Lightstorm Entertainment, 20th Century Fox, Dune Entertainment, Ingenious Film Partners",Ingenious Film Partners,Ingenious Film Partners
300000000,285,en,Pirates of the Caribbean: At World's End,139.082615,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",2007-05-19,961000000,169.0,Released,Pirates of the Caribbean: At World's End,6.9,4500,2007.0,5.0,19.519293035953808,20.68348496797515,1,8.412054873292933,4.942232355707408,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jerry Bruckheimer Films, Disney, Second Mate Productions",Disney,Disney
245000000,206647,en,Spectre,107.376788,"Columbia Pictures, Danjaq, B24",2015-10-26,880674609,148.0,Released,Spectre,6.3,4466,2015.0,10.0,19.316768772590635,20.59619877401982,1,8.404472321352118,4.6856139332345075,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sony Pictures, Danjaq, B24",Sony Pictures,Sony Pictures
250000000,49026,en,The Dark Knight Rises,112.31295,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy",2012-07-16,1084939099,165.0,Released,The Dark Knight Rises,7.6,9106,2012.0,7.0,19.33697147982652,20.804789693331283,1,9.11679862756782,4.730153459825441,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"DC Entertainment, Legendary Pictures, Syncopy, Warner Bros",Legendary Pictures,0_Otros
260000000,49529,en,John Carter,43.926995,Walt Disney Pictures,2012-03-07,284139100,132.0,Released,John Carter,6.1,2124,2012.0,3.0,19.376192192825954,19.46497446846993,1,7.661527081358517,3.805038839029222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Disney,Disney,Disney
258000000,559,en,Spider-Man 3,115.699814,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",2007-05-01,890871626,139.0,Released,Spider-Man 3,5.9,3576,2007.0,5.0,19.36847014676186,20.607710897613856,1,8.182279739259018,4.759604945460906,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Laura Ziskin Productions, Sony Pictures, Marvel Studios",Sony Pictures,Sony Pictures
260000000,38757,en,Tangled,48.681969,"Walt Disney Pictures, Walt Disney Animation Studios",2010-11-24,591794936,100.0,Released,Tangled,7.4,3330,2010.0,11.0,19.376192192825954,20.198670742638633,1,8.11102783819368,3.9056420704952255,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Disney,Disney,Disney
280000000,99861,en,Avengers: Age of Ultron,134.279229,"Marvel Studios, Prime Focus, Revolution Sun Studios",2015-04-22,1405403694,141.0,Released,Avengers: Age of Ultron,7.3,6767,2015.0,4.0,19.450300164704952,21.063590425863644,1,8.81996090128606,4.907341005283723,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Revolution Sun Studios, Prime Focus, Marvel Studios",Marvel Studios,0_Otros
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,"Warner Bros., Heyday Films",2009-07-07,933959197,153.0,Released,Harry Potter and the Half-Blood Prince,7.4,5293,2009.0,7.0,19.33697147982652,20.65494331001405,1,8.574329382787047,4.604025901544294,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Heyday Films, Warner Bros",Warner Bros,Warner Bros
250000000,209112,en,Batman v Superman: Dawn of Justice,155.790452,"DC Comics, Atlas Entertainment, Warner Bros., DC Entertainment, Cruel & Unusual Films, RatPac-Dune Entertainment",2016-03-23,873260194,151.0,Released,Batman v Superman: Dawn of Justice,5.7,7004,2016.0,3.0,19.33697147982652,20.587744116361193,1,8.854379458771108,5.054910213205119,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Dune Entertainment, Atlas Entertainment, DC Entertainment, Warner Bros, DC Comics, Cruel & Unusual Films",DC Comics,0_Otros
270000000,1452,en,Superman Returns,57.925623,"DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions",2006-06-28,391081192,154.0,Released,Superman Returns,5.4,1400,2006.0,6.0,19.413932520666354,19.784425751123838,1,7.244941546337007,4.076276021528289,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Bad Hat Harry Productions, DC Comics, Legendary Pictures, Warner Bros",DC Comics,0_Otros
200000000,10764,en,Quantum of Solace,107.928811,Eon Productions,2008-10-30,586090727,106.0,Released,Quantum of Solace,6.1,2965,2008.0,10.0,19.11382792951231,20.188985161495555,1,7.994969522697877,4.690694558768097,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eon Productions,Eon Productions,0_Otros
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",2006-06-20,1065659812,151.0,Released,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,2006.0,6.0,19.11382792951231,20.78685998699344,1,8.565411763686711,4.989393809340984,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jerry Bruckheimer Films, Disney, Second Mate Productions",Disney,Disney
255000000,57201,en,The Lone Ranger,49.046956,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media",2013-07-03,89289910,149.0,Released,The Lone Ranger,5.9,2311,2013.0,7.0,19.35677410704427,18.307399060740746,1,7.7458682297922685,3.912961684730849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jerry Bruckheimer Films, Infinitum Nihil, Disney, Classic Media, Blind Wink Productions, Silver Bullet Productions (II)",Disney,Disney
225000000,49521,en,Man of Steel,99.398009,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films",2013-06-12,662845518,143.0,Released,Man of Steel,6.5,6359,2013.0,6.0,19.23161096461314,20.312052517984124,1,8.757783656334167,4.609142376383708,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Cruel and Unusual Films, DC Entertainment, Warner Bros, Legendary Pictures, Syncopy",Legendary Pictures,0_Otros
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,"Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios",2008-05-15,419651413,150.0,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630,2008.0,5.0,19.23161096461314,19.854934957961998,1,7.396948602621014,4.006944054985661,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Stillking Films, Silverbell Films, Walden Media, Disney, Revolution Sun Studios, Propeler, Ozumi Films",Disney,Disney
220000000,24428,en,The Avengers,144.448633,"Paramount Pictures, Marvel Studios",2012-04-25,1519557910,143.0,Released,The Avengers,7.4,11776,2012.0,4.0,19.20913810886209,21.14168528147379,1,9.373903755841548,4.979822986478345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Marvel Studios, Paramount Pictures",Paramount Pictures,Paramount Pictures
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",2011-05-14,1045713802,136.0,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948,2011.0,5.0,19.755681813316283,20.76796555425219,1,8.506940814951886,4.915693323827812,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jerry Bruckheimer Films, Moving Picture Company (MPC), Disney",Disney,Disney
225000000,41154,en,Men in Black 3,52.035179,"Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions",2012-05-23,624026776,106.0,Released,Men in Black 3,6.2,4160,2012.0,5.0,19.23161096461314,20.25170383727199,1,8.333510708982942,3.9709554480813694,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Amblin Entertainment, Media Magik Entertainment, Hemisphere Media Capital, Parkes/MacDonald Productions, Imagenation Abu Dhabi FZ",Amblin Entertainment,0_Otros
250000000,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,"WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM)",2014-12-10,956019788,144.0,Released,The Hobbit: The Battle of the Five Armies,7.1,4760,2014.0,12.0,19.33697147982652,20.678289170592233,1,8.46821300919452,4.803740210220969,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3Foot7, Warner Bros, New Line Cinema, WingNut Films, Metro-Goldwyn-Mayer (MGM)",WingNut Films,0_Otros
215000000,1930,en,The Amazing Spider-Man,89.866276,"Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment",2012-06-27,752215857,136.0,Released,The Amazing Spider-Man,6.5,6586,2012.0,6.0,19.186148590743098,20.438533885937286,1,8.792853288640693,4.509388931245389,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Laura Ziskin Productions, Sony Pictures, Marvel Studios",Sony Pictures,Sony Pictures
200000000,20662,en,Robin Hood,37.668301,"Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media",2010-05-12,310669540,140.0,Released,Robin Hood,6.2,1398,2010.0,5.0,19.11382792951231,19.554240336084877,1,7.243512974665482,3.6550201687863995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Relativity Media, Scott Free Productions, Universal Pictures, Imagine Entertainment",Imagine Entertainment,Imagine Entertainment
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,"WingNut Films, New Line Cinema, Warner Bros. Pictures, Metro-Goldwyn-Mayer (MGM)",2013-12-11,958400000,161.0,Released,The Hobbit: The Desolation of Smaug,7.6,4524,2013.0,12.0,19.33697147982652,20.680775786368866,1,8.417372856134026,4.5577699773827085,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"New Line Cinema, WingNut Films, Metro-Goldwyn-Mayer (MGM), Warner Bros",WingNut Films,0_Otros
180000000,2268,en,The Golden Compass,42.990906,"New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions",2007-12-04,372234864,113.0,Released,The Golden Compass,5.8,1303,2007.0,12.0,19.00846741441004,19.73503557054199,1,7.1731917424865985,3.783982930738449,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"New Line Cinema, Scholastic Productions, Depth of Field, Ingenious Film Partners",New Line Cinema,New Line Cinema
207000000,254,en,King Kong,61.22601,"WingNut Films, Universal Pictures, Big Primate Pictures, MFPV Film",2005-12-14,550000000,187.0,Released,King Kong,6.6,2337,2005.0,12.0,19.14822935606056,20.125428838008972,1,7.757051142032013,4.130773079540168,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MFPV Film, WingNut Films, Universal Pictures, Big Primate Pictures",WingNut Films,0_Otros
200000000,597,en,Titanic,100.025899,"Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment",1997-11-18,1845034188,194.0,Released,Titanic,7.5,7562,1997.0,11.0,19.11382792951231,21.33576364489052,1,8.93102321585603,4.6153769097123725,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Lightstorm Entertainment, 20th Century Fox, Paramount Pictures",Paramount Pictures,Paramount Pictures
250000000,271110,en,Captain America: Civil War,198.372395,"Studio Babelsberg, Marvel Studios, Walt Disney Studios Motion Pictures, Vita-Ray Dutch Productions (III), Deluxe Digital Studios",2016-04-27,1153304495,147.0,Released,Captain America: Civil War,7.1,7241,2016.0,4.0,19.33697147982652,20.865897133567135,1,8.887652690325586,5.295174407623029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Deluxe Digital Studios, Disney, Studio Babelsberg, Marvel Studios, Vita-Ray Dutch Productions (III)",Studio Babelsberg,0_Otros
209000000,44833,en,Battleship,64.928382,"Universal Pictures, Hasbro, Bluegrass Films, Film 44",2012-04-11,303025485,131.0,Released,Battleship,5.5,2114,2012.0,4.0,19.157844814713773,19.52932747214763,1,7.656810091480378,4.188569031644029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Bluegrass Films, Hasbro, Universal Pictures, Film 44",Universal Pictures,Universal Pictures
150000000,135397,en,Jurassic World,418.708552,"Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",2015-06-09,1513528810,124.0,Released,Jurassic World,6.5,8662,2015.0,6.0,18.826145858727198,21.137709722254115,1,9.06681636189014,6.039560546591324,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Amblin Entertainment, Dentsu, Fuji Television Network, Universal Pictures, Legendary Pictures",Universal Pictures,Universal Pictures
200000000,37724,en,Skyfall,93.004993,Columbia Pictures,2012-10-25,1108561013,143.0,Released,Skyfall,6.9,7604,2012.0,10.0,19.11382792951231,20.826328627454465,1,8.936561204693394,4.543347897880621,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sony Pictures,Sony Pictures,Sony Pictures
